Title,Artist,Top_genre,Year,Bpm,Nrgy,Dnce,DB,Live,Val,Dur,Acous,Spch,Popularity,Country
Location Unknown,HONNE,uk pop,2019,92,29,51,-7,8,40,328,94,4,80,indonesia
blun7 a swishland,tha Supreme,trap italiana,2019,130,79,69,-6,26,57,168,13,25,80,italy
ch1 5ei te,tha Supreme,trap italiana,2019,88,78,49,-6,16,32,184,5,7,76,italy
fuck 3x,tha Supreme,trap italiana,2019,180,81,66,-5,11,69,161,7,8,82,italy
m12ano,tha Supreme,trap italiana,2019,65,51,58,-6,8,48,188,4,4,78,italy
m8nstar,tha Supreme,trap italiana,2019,165,76,58,-6,11,44,165,5,4,73,italy
occh1 purpl3,tha Supreme,trap italiana,2019,134,81,66,-5,16,55,188,9,16,77,italy
sw1n6o ,tha Supreme,trap italiana,2019,170,83,57,-6,79,79,184,12,9,78,italy
Alocao,Omar Montes,trap espanol,2019,178,75,67,-5,11,70,209,21,6,84,spain
Contando Lunares,Don Patricio,trap espanol,2019,106,52,86,-10,5,71,220,44,13,81,spain
No Te Debi Besar,C. Tangana,trap espanol,2019,75,68,67,-6,18,62,183,13,32,82,chile
Prendio,Rvfv,trap espanol,2019,125,54,83,-10,13,90,190,17,9,76,spain
Prendio,Rvfv,trap espanol,2019,125,76,75,-6,8,75,191,19,6,61,spain
No Dijeron Nada,Oscu,trap argentino,2019,115,71,70,-5,51,91,187,8,5,68,argentina
Fuera De Mi Mente,Lerica,spanish pop,2019,94,94,74,-2,5,70,181,17,10,73,spain
Si por mi fuera,Beret,spanish hip hop,2019,150,75,70,-6,10,88,209,3,3,73,spain
A Gente Fez Amor,Gusttavo Lima,sertanejo universitario,2019,134,94,79,-2,96,83,238,37,3,78,brazil
Ai Eu Bebo,Maiara & Maraisa,sertanejo universitario,2019,136,68,83,-5,41,85,174,48,7,79,brazil
Bebi Minha Bicicleta,Ze Neto & Cristiano,sertanejo universitario,2019,196,90,39,-4,91,47,182,45,41,68,brazil
Carreira Solo,Gusttavo Lima,sertanejo universitario,2019,127,93,81,-1,87,92,216,41,4,67,brazil
Ferida Curada,Ze Neto & Cristiano,sertanejo universitario,2019,146,85,49,-3,21,55,159,49,10,83,brazil
Liberdade Provisoria,Henrique & Juliano,sertanejo universitario,2019,108,68,67,-6,92,70,188,63,5,84,brazil
Quem Traiu Levou,Gusttavo Lima,sertanejo universitario,2019,174,96,59,-2,32,83,154,32,8,66,brazil
